<oov> 1.0	<oov>
سونے 1.0	S O_O N A_Y
سوواں 1.0	S O V A_A_N
سوویت 1.0	S U_U V I J J A T_D
سوویں 1.0	S O_O V A_Y_N
سوچ 1.0	S O_O T_S1
سوچا 1.0	S O_O T_S1 A_A
سوچنے 1.0	S O_O T_S1 N A_Y
سوچو 1.0	S O_O T_S1 O_O
سوچوں 1.0	S O_O T_S1 O_O_N
سوچیں 1.0	S O_O T_S1 A_Y_N
سوچیے 1.0	S O_O T_S1 I_I1 A_Y
سوچے 1.0	S O_O T_S1 A_Y
سوڈا 1.0	S O_O D A_A
سوک 1.0	S O_O K
سوکھ 1.0	S U_U K_H
سوکھا 1.0	S U_U K_H A_A
سوکھنے 1.0	S U_U K_H N A_Y
سوکھی 1.0	S U_U K_H I_I1
سوکھے 1.0	S U_U K_H A_Y
سوگوار 1.0	S O_O G V A_A R
سوں 1.0	S U_U_N
سویا 1.0	S O_O J A_A
سویاں 1.0	S I V A J J A_A_N
سویرا 1.0	S O A_Y R A_A
سویرے 1.0	S A V A_Y R A_Y
سویلین 1.0	S I V I_I1 L J A N
سویٹر 1.0	S U V A_E1 T A R
سویڈش 1.0	S U V I_I1 D I S_H
سَیل 1.0	S A_E1 L
سِکھوں 1.0	S I K K_H O_O_N
سٹرلنگ 1.0	S A T A R L I N_G
سٹوڈنٹ 1.0	S T U_U D A N T
سٹوڈنٹس 1.0	S I T U_U D A N T S
سٹوڈیوز 1.0	S A T U_U D I_I1 J O_O Z
سٹیڈیم 1.0	S T A_Y D I A M
سپاسنامہ 1.0	S I P A_A S N A_A M A_A
سپاہیوں 1.0	S I P A_A H I_I1 O_O_N
سپردخاک 1.0	S U P U R D_D A_Y X A_A K
سپرنٹنڈنٹ 1.0	S U P R I N T I N D I N T
سپننگ 1.0	S I P I N N_G
سپیل 1.0	S I_I1 P A_Y L
سچ 1.0	S A T_S1
سچائی 1.0	S A T_S1 T_S1 A_A I_I1
سچل 1.0	S A T_S1 T_S1 A L
سڑنے 1.0	S A R_R N A_E1
سڑک 1.0	S A R_R A K
سکتا 1.0	S A K T_D A_A
سکتی 1.0	S A K T_D I_I1
سکتیں 1.0	S A K T_D I_I_N
سکتے 1.0	S A K T_D A_Y
سکنجبین 1.0	S I K A N D_Z B I_I1 N
سکواڈرن 1.0	S A K U_U A D R A N
سکورز 1.0	S A K O_O R Z
سکول 1.0	S A K U_U L
سکولز 1.0	S A K U_U L Z
سکولوں 1.0	S A K U_U L O_O_N
سکھی 1.0	S U K_H I_I1
سکیپ 1.0	S I K A_Y P
سکیں 1.0	S A K A_Y_N
سکے 1.0	S A K A_Y
سگریٹ 1.0	S I G R A_Y T
سگھڑ 1.0	S U G_H A R_R
سگے 1.0	S A G A_Y
سہارے 1.0	S A H A_A R A_Y
سہاگہ 1.0	S U H A_A G A_A
سہولت 1.0	S U H U_U L A T_D
سہیلی 1.0	S A H A_Y L I_I1
سی 1.0	S I_I1
سیاح 1.0	S A_E1 J A_A H
سیاحت 1.0	S I J A_A H A T_D
سیاروں 1.0	S A_Y J J A_A R O_O_N
سیارے 1.0	S A_E1 J A_A R A_Y
سیاست 1.0	S I J A_A S A T_D
سیاسی 1.0	S I J A_A S I_I1
سیب 1.0	S A_Y B
سیج 1.0	S A_Y D_Z
سید 1.0	S I_I1 D_D
سیدھا 1.0	S I_I1 D_D_H A_A
سیدھے 1.0	S I_I1 D_D_H A_Y
سیدہ 1.0	S A J J A D_D A_A
سیر 1.0	S A_Y R
سیراب 1.0	S A_E1 R A_A B
سیرت 1.0	S I_I1 R A T_D
سیروسیاحت 1.0	S A_E1 R O_O S I J A_A H A T_D
سیرگاہ 1.0	S A_E1 R G A_A
سیریز 1.0	S I_I1 R I_I1 Z
سیریلز 1.0	S I_I1 R J A L Z
سیزن 1.0	S I_I1 Z A N
سیسموگراف 1.0	S A_E1 S M O_O G I R A_A F
سیسمک 1.0	S I_I1 S M I K
سیسے 1.0	S I_I1 S A_Y
سیشن 1.0	S A_E1 S_H A N
سیف 1.0	S A_Y F
سیفٹی 1.0	S A_Y F T I_I1
سیل 1.0	S I_I1 L
سیلرز 1.0	S A_Y L A R Z
سیلز 1.0	S A_E1 L Z
سیلزمین 1.0	S A_Y L Z M A_E1 N
سیمی 1.0	S I_I1 M I_I1
سیمینار 1.0	S A_E1 M I_I1 N A_A R
سینئر 1.0	S I_I1 N I A R
سینما 1.0	S A_E1 N M A_A
سینٹر 1.0	S A_E1 N T A R
سینڈوچ 1.0	S A_E1 N D V I T_S1
سینکڑوں 1.0	S A_E_N K R_R O_O_N
سینگ 1.0	S I_I1 N_G
سینیٹ 1.0	S A_Y N A_Y T
سیو 1.0	S I_I1 O_O
سیورج 1.0	S I_I1 V R A_Y D_Z
سیون 1.0	S A_Y V A N
سیونگ 1.0	S A_Y V I N_G
سیٹھ 1.0	S A_Y T_H
سیٹھی 1.0	S A_Y T_H I_I1
سیڈ 1.0	S I_I1 D
سیڑھیاں 1.0	S I_I1 R_R_H I J A_A_N
سیڑھیوں 1.0	S I_I1 R_R_H I_I1 O_O_N
سیکشن 1.0	S A_E1 K S_H A N
سیکورٹی 1.0	S I_I1 K O_O R T I_I1
سیکھ 1.0	S I_I1 K_H
سیکھا 1.0	S I_I1 K_H A_A
سیکھنے 1.0	S I_I1 K_H N A_Y
سیکھو 1.0	S I_I1 K_H O_O
سیکھی 1.0	S I_I1 K_H I_I1
سیکھیں 1.0	S I_I1 K_H A_Y_N
سیکھے 1.0	S I_I1 K_H A_Y
سے 1.0	S A_Y
شائد 1.0	S_H A_A J A D_D
شائع 1.0	S_H A_A A_Y
شائقین 1.0	S_H A_A I Q I_I1 N
شائیں 1.0	S_H A_A A_Y_N
شاخ 1.0	S_H A_A X
شاخسانہ 1.0	S_H A_A X S A_A N A_A
شاخوں 1.0	S_H A_A X O_O_N
شاخیں 1.0	S_H A_A X A_Y_N
شادی 1.0	S_H A_A D_D I_I1
شاذ 1.0	S_H A_A Z
شاعر 1.0	S_H A_A I R
شالا 1.0	S_H A_A L A_A
شامل 1.0	S_H A_A M I L
شاندار 1.0	S_H A_A N D_D A_A R
شاگرد 1.0	S_H A_A G I R D_D
شاہ 1.0	S_H A_A
شاہد 1.0	S_H A_A H I D_D
شاہراہ 1.0	S_H A_A H R A_A
شاہنواز 1.0	S_H A_A H N A V A_A Z
شاہین 1.0	S_H A_A H I_I1 N
شب 1.0	S_H A B
شبلی 1.0	S_H I B L I_I1
شبہ 1.0	S_H U B A_A
شبہات 1.0	S_H A B H A_A T_D
شبہے 1.0	S_H U B H A_Y
شجاعت 1.0	S_H U D_Z A_A A T_D
شجر 1.0	S_H A D_Z A R
شخص 1.0	S_H A X S
شخصیت 1.0	S_H A X S I_I1 J A T_D
شخصے 1.0	S_H A X S A_Y
شدت 1.0	S_H I D_D D_D A T_D
شدھی 1.0	S_H U D_D_H D_D_H I_I1
شدہ 1.0	S_H U D_D A_A
شدید 1.0	S_H A D_D I_I1 D_D
شرحوں 1.0	S_H A R H O_O_N
شروع 1.0	S_H U R U_U
شروعات 1.0	S_H U R U_U A_A T_D
شرکت 1.0	S_H I R K A T_D
شریف 1.0	S_H A R I_I1 F
شریفین 1.0	S_H A R I_I1 F A_Y N
شستہ 1.0	S_H U S T_D A_A
شش 1.0	S_H A S_H
ششدر 1.0	S_H A S_H D_D A R
شعائر 1.0	S_H I A_A I R
شعار 1.0	S_H I A_A R
شعاع 1.0	S_H O_O A_A
شعاعوں 1.0	S_H U A_A O_O_N
شعبوں 1.0	S_H U B O_O_N
شعبہ 1.0	S_H O_O B A_A
شعر 1.0	S_H A_Y R
شعرا 1.0	S_H U A R A_A
شعروادب 1.0	S_H A_Y R O_O A D_D A B
شعری 1.0	S_H A_Y R I_I1
شعلوں 1.0	S_H O_O L O_O_N
شعلے 1.0	S_H O_O L A_Y
شعور 1.0	S_H A U_U R
شعوری 1.0	S_H U U_U R I_I1
شغل 1.0	S_H A G_G L
شفاعت 1.0	S_H I F A_A A T_D
شفاف 1.0	S_H A F F A_A F
شفقت 1.0	S_H A F Q A T_D
شفیق 1.0	S_H A F I_I1 Q
شل 1.0	S_H A L
شلجم 1.0	S_H A L D_Z A M
شمار 1.0	S_H U M A_A R
شماریات 1.0	S_H U M A_A R J A_A T_D
شمس 1.0	S_H A M S
شمسی 1.0	S_H A M S I_I1
شمشاد 1.0	S_H A M S_H A_A D_D
شمولیت 1.0	S_H A M U_U L I_I1 J A T_D
شناخت 1.0	S_H A N A_A X T_D
شناسی 1.0	S_H I N A_A S I_I1
شنید 1.0	S_H A N I_I1 D_D
شو 1.0	S_H O_O
شوالا 1.0	S_H A V A_A L A_A
شواہد 1.0	S_H A V A_A H I D_D
شوخ 1.0	S_H O_O X
شوخی 1.0	S_H O_O X I_I1
شور 1.0	S_H O_O R
شوربہ 1.0	S_H O_O R B A_A
شوروم 1.0	S_H O_O R U_U M
شوز 1.0	S_H O_O Z
شوشہ 1.0	S_H O_O S_H A_A
شوق 1.0	S_H O Q
شون 1.0	S_H U V A N
شوکت 1.0	S_H O K A T_D
شوکیسوں 1.0	S_H O_O K A_Y S O_O_N
شوگر 1.0	S_H U_U G A R
شوہر 1.0	S_H O H A R
شکار 1.0	S_H I K A_A R
شگاف 1.0	S_H I G A_A F
شگفتہ 1.0	S_H A G U F T_D A_A
شگوفوں 1.0	S_H A G U_U F O_O_N
شگوفے 1.0	S_H A G U_U F A_Y
شگون 1.0	S_H A G U_U N
شہاب 1.0	S_H A H A_A B
شہابیے 1.0	S_H I H A_A B I_I1 J A_Y
شہباز 1.0	S_H H B A_A Z
شہر 1.0	S_H A_E_H H R
شہرت 1.0	S_H U H R A T_D
شہروں 1.0	S_H A_E_H H R O_O_N
شہرہ 1.0	S_H O_O_H H R A_A
شہری 1.0	S_H A_E_H H R I_I1
شہریوں 1.0	S_H A_E_H H R I_I1 O_O_N
شہزاد 1.0	S_H A H Z A_A D_D
شہزادی 1.0	S_H A H Z A_A D_D I_I1
شہید 1.0	S_H A H I_I1 D_D
شیئر 1.0	S_H A_Y A R
شیئرنگ 1.0	S_H A_Y I R I N_G
شیخ 1.0	S_H A_Y X
شیخی 1.0	S_H A_Y X I_I1
شیدائی 1.0	S_H A_E1 D_D A_A I_I1
شیر 1.0	S_H A_Y R
شیرخوار 1.0	S_H I_I1 R X A_A R
شیروانی 1.0	S_H A_Y R V A_A N I_I1
شیرٹن 1.0	S_H A_E1 R T A N
شیریں 1.0	S_H I_I1 R I_I_N
شیرے 1.0	S_H I_I1 R A_Y
شیشوں 1.0	S_H I_I1 S_H O_O_N
شیشے 1.0	S_H I_I1 S_H A_Y
شیعہ 1.0	S_H I_I1 A_A
شیفرڈ 1.0	S_H A_E1 F A R D
شیل 1.0	S_H A_E1 L
شیلٹر 1.0	S_H A_E1 L T A R
شیلڈ 1.0	S_H I_I1 L D
شیلڈیں 1.0	S_H I_I1 L D A_Y_N
شیم 1.0	S_H A_Y M
شیمپو 1.0	S_H A_E1 M P U_U
شیو 1.0	S_H A_Y V
شیوخ 1.0	S_H A_E1 J J U_U X
شیڈ 1.0	S_H A_Y D
شیڈو 1.0	S_H A_E1 D O_O
شیڈول 1.0	S_H A_E1 D U_U L
شے 1.0	S_H A_Y
صابر 1.0	S A_A B I R
صاحب 1.0	S A_A H I B
صادق 1.0	S A_A D_D I Q
صارفین 1.0	S A_A R I F I_I1 N
صاف 1.0	S A_A F
صبح 1.0	S U B H
صبحیں 1.0	S U B H A_Y_N
صبر 1.0	S A B R
صبروتحمل 1.0	S A B R O_O T_D A H A M M U L
صبغت 1.0	S I B G_G A T_D
صبوحی 1.0	S A B U_U H I_I1
صحافیوں 1.0	S A H A_A F I_I1 O_O_N
صحبت 1.0	S O_O_H H B A T_D
صحبتوں 1.0	S U H B A T_D O_O_N
صحت 1.0	S A_Y H H A T_D
صحتمند 1.0	S I H H A T_D M A N D_D
صحیح 1.0	S A H I_I1 H
صداقت 1.0	S A D_D A_A Q A T_D
صدر 1.0	S A D_D R
صدور 1.0	S U D_D U_U R
صدیاں 1.0	S A D_D J A_A_N
صدیقی 1.0	S I D_D D_D I_I1 Q I_I1
صدیقین 1.0	S I D_D D_D I_I1 Q A_Y N
صدیوں 1.0	S A D_D J O_O_N
صرف 1.0	S A R F
صعوبتیں 1.0	S U U_U B A T_D A_Y_N
صغری 1.0	S U G_G R A_A
صغیر 1.0	S A G_G I_I1 R
صفائی 1.0	S A F A_A I_I1
صفحوں 1.0	S A F H O_O_N
صفحہ 1.0	S A F H A_A
صفحے 1.0	S A F H A_Y
صفر 1.0	S I F R
صفوں 1.0	S A F O_O_N
صفیں 1.0	S A F A_Y_N
صلاحیت 1.0	S A L A_A H I_I1 J A T_D
صلاحیتیں 1.0	S A L A_A H I J A T_D A_Y_N
صلح 1.0	S A L H
صنف 1.0	S I N F
صوبائی 1.0	S U_U B A_A I_I1
صوبوں 1.0	S U_U B O_O_N
صورت 1.0	S U_U R A T_D
صورتحال 1.0	S U_U R A T_D A_Y H A_A L
صوفی 1.0	S O_O F I_I1
صوفیانہ 1.0	S O_O F I J A_A N A_A
صوفیہ 1.0	S O_O F I J A_A
صیاد 1.0	S I J A_A D_D
صیغہ 1.0	S I_I1 G_G A_A
صیہونی 1.0	S A_E1 H U_U N I_I1
ضائع 1.0	Z A_A A_Y
ضخیم 1.0	Z A X I_I1 M
ضد 1.0	Z I D_D
ضرورت 1.0	Z A R U_U R A T_D
ضروری 1.0	Z A R U_U R I_I1
ضروریات 1.0	Z U R U_U R I_I1 J A_A T_D
ضعف 1.0	Z O_O F
ضعیف 1.0	Z A I_I1 F
ضلع 1.0	Z I L A_A
ضلعی 1.0	Z I L A I_I1
ضوفشاں 1.0	Z O F A S_H A_A_N
ضیغم 1.0	Z A_E1 G_G A M
طاغوتی 1.0	T_D A_A G_G U_U T_D I_I1
طالب 1.0	T_D A_A L I B
طبعی 1.0	T_D A B A I_I1
طبیعت 1.0	T_D A B I_I1 J A T_D
طرح 1.0	T_D A R H
طرحی 1.0	T_D A R H I_I1
طرزعمل 1.0	T_D A R Z A_Y A M A L
طرزفکر 1.0	T_D A R Z A_Y F I K R
طرف 1.0	T_D A R F
طرفین 1.0	T_D A R F A_E1 N
طریقہ 1.0	T_D A R I_I1 Q A_A
طغیانی 1.0	T_D U G_G J A_A N I_I1
طفیل 1.0	T_D U F A_E1 L
طلب 1.0	T_D A L A B
طنزومزاح 1.0	T_D A N Z O_O M I Z A_A
طور 1.0	T_D O R
طوفان 1.0	T_D U_U F A_A N
طوفاں 1.0	T_D U_U F A_A_N
طویل 1.0	T_D A V I_I1 L
طیب 1.0	T_D I_I1 B
طیبہ 1.0	T_D A J J I B A_A
ظاہر 1.0	Z A_A H I R
ظریفی 1.0	Z A R I_I1 F I_I1
ظلم 1.0	Z U L M
ظہر 1.0	Z O_O_H H R
ظہور 1.0	Z U H U_U R
ظہیر 1.0	Z A H I_I1 R
عابد 1.0	A_A B I D_D
عارضی 1.0	A_A R Z I_I1
عاشق 1.0	A_A S_H I Q
عاشور 1.0	A_A S_H U_U R
عالمی 1.0	A_A L A M I_I1
عالیشان 1.0	A_A L I_I1 S_H A_A N
عام 1.0	A_A M
عبدالحئی 1.0	A B D_D U L H A I_I1
عبرت 1.0	I B R A T_D
عبور 1.0	A B U_U R
عثمانی 1.0	U S M A_A N I_I1
عجز 1.0	I D_Z Z
عجلت 1.0	U D_Z L A T_D
عجیب 1.0	A D_Z I_I1 B
عدالت 1.0	A D_D A_A L A T_D
عدل 1.0	A D_D L
عدلیہ 1.0	A D_D L I J A_A
عذاب 1.0	A Z A_A B
عراقی 1.0	I R A_A Q I_I1
عرب 1.0	A R A B
عرس 1.0	A U R S
عرصہ 1.0	A R S A_A
عرصے 1.0	A R S A_Y
عرضداشت 1.0	A R Z D_D A_A S_H T_D
عرف 1.0	U R F
عرفان 1.0	I R F A_A N
عروج 1.0	U R U_U D_Z
عریاں 1.0	U R J A_A_N
عزت 1.0	I Z Z A T_D
عزیز 1.0	A Z I_I1 Z
عزیزواقارب 1.0	A Z I_I1 Z O_O A Q A_A R I B
عشاق 1.0	U S_H S_H A_A Q
عشر 1.0	U S_H A R
عشرت 1.0	I S_H R A T_D
عشروں 1.0	A S_H R O_O_N
عشرہ 1.0	A S_H R A_A
عشرے 1.0	A S_H R A_Y
عشق 1.0	I S_H Q
عصیاں 1.0	I S J A_A_N
عضلات 1.0	U Z L A_A T_D
عظام 1.0	U Z Z A_A M
عظمی 1.0	U Z M A_A
عفت 1.0	I F F A T_D
عفو 1.0	A F V
عقاب 1.0	U Q A_A B
عقلمندی 1.0	A Q L M A N D_D I_I1
عقوبت 1.0	U Q U_U B A T_D
عقیل 1.0	A Q I_I1 L
علاج 1.0	I L A_A D_Z
علاقائی 1.0	I L A_A Q A_A I_I1
علاقوں 1.0	I L A_A Q O_O_N
علاقے 1.0	I L A_A Q A_Y
علاوہ 1.0	I L A_A V A_A
علم 1.0	A L A M
علوی 1.0	U L V I_I1
علی 1.0	A L I_I1
علیحدہ 1.0	A L A_E1 H I D_D A_A
عمر 1.0	U M A R
عمرقید 1.0	U M R Q A_E1 D_D
عمریں 1.0	U M R A_Y_N
عمل 1.0	A M A L
عملا 1.0	A M L A N
عملی 1.0	A M A L I_I1
عموماً 1.0	A M U_U M A N
عمیق 1.0	A M I_I1 Q
عندیہ 1.0	I N D_D I_I1 J A_A
عنوان 1.0	U N V A_A N
عوام 1.0	A V A_A M
عود 1.0	U_U D_D
عورت 1.0	O R A T_D
عہدہ 1.0	O_O_H H D_D A_A
عہدیداروں 1.0	O_O_H H D_D A_Y D_D A_A R O_O_N
عہدے 1.0	O_O_H H D_D A_Y
عیادت 1.0	Y A J A_A D_D A T_D
عیاشی 1.0	A J J A_A S_H I_I1
عیاں 1.0	A J A_A_N
عیب 1.0	A_E1 B
عید 1.0	I_I1 D_D
غائب 1.0	G_G A_A I B
غافل 1.0	G_G A_A F I L
غالب 1.0	G_G A_A L I B
غاں 1.0	G_G A_A_N
غایت 1.0	G_G A_A J A T_D
غبار 1.0	G_G U B A_A R
غبن 1.0	G_G A B A N
غدار 1.0	G_G A D_D D_D A_A R
غدود 1.0	G_G U D_D U_U D_D
غدودوں 1.0	G_G U_U D_D U_U D_D O_O_N
غذا 1.0	G_G I Z A_A
غذاؤں 1.0	G_G I_I1 Z A_A O_O_N
غذائی 1.0	G_G I Z A_A I_I1
غرارے 1.0	G_G A R A_A R A_Y
غربت 1.0	G_G U R B A T_D
غریب 1.0	G_G A R I_I1 B
غزل 1.0	G_G A Z A L
غزلوں 1.0	G_G A Z L O_O_N
غزلیات 1.0	G_G A Z L I J A_A T_D
غزلیں 1.0	G_G A Z L A_Y_N
غزوہ 1.0	G_G A Z V A_A
غشی 1.0	G_G A S_H I_I1
غصب 1.0	G_G A S A B
غصہ 1.0	G_G U S S A_A
غفلت 1.0	G_G A F L A T_D
غفور 1.0	G_G A F U_U R
غلاف 1.0	G_G I L A_A F
غلام 1.0	G_G U L A_A M
غلط 1.0	G_G A L A T_D
غلیل 1.0	G_G U L A_Y L
غم 1.0	G_G A M
غنا 1.0	G_G I N A_A
غنودگی 1.0	G_G U N U_U D_D A G I_I1
غنی 1.0	G_G A N I_I1
غوث 1.0	G_G O S
غور 1.0	G_G O R
غوروخوض 1.0	G_G O R O_O X O Z
غوغا 1.0	G_G O G_G A_A
غول 1.0	G_G O L
غوں 1.0	G_G U_U_N
غیب 1.0	G_G A_E1 B
غیر 1.0	G_G A_E1 R
غیرت 1.0	G_G A_E1 R A T_D
غیردانشمندانہ 1.0	G_G A_E1 R D_D A_A N I S_H M A N D_D A_A N A_A
غیررسمی 1.0	G_G A_E1 R R A S M I_I1
غیرضروری 1.0	G_G A_E1 R Z A R U_U R I_I1
غیرفیصلہ 1.0	G_G A_E1 R F I_I1 S A L A_A
غیرقانونی 1.0	G_G A_E1 R Q A_A N U_U N I_I1
غیرملکی 1.0	G_G A_E1 R M U L K I_I1
غیرنمایاں 1.0	G_G A_E1 R N U M A_A J A_A_N
غیریقینی 1.0	G_G A_E1 R J A Q I_I1 N I_I1
غیظ 1.0	G_G A_E1 Z
غیور 1.0	G_G A J J U_U R
فاؤل 1.0	F A_A U_U L
فاؤنٹین 1.0	F A U_U N T A_Y N
فاؤنڈیشن 1.0	F A_A U_U N D A_Y S_H A N
فائدہ 1.0	F A_A I D_D A_A
فائر 1.0	F A_A I R
فائربریگیڈ 1.0	F A_A I R B A R I_I1 G A_Y D
فاجر 1.0	F A_A D_Z I R
فاخرہ 1.0	F A_A X I R A_A
فارسی 1.0	F A_A R S I_I1
فارغ 1.0	F A_A R I G_G
فارم 1.0	F A_A R M
فارمولے 1.0	F A_A R M U_U L A_Y
فارورڈ 1.0	F A_A R V A R D
فاروق 1.0	F A_A R U_U Q
فاریسٹ 1.0	F A_A R A_E1 S T
فاسفورس 1.0	F A_A S F O_O R A S
فاسفیٹ 1.0	F A_A S F A_Y T
فاسٹ 1.0	F A_A S T
فاش 1.0	F A_A S_H
فالوآن 1.0	F A_A L O_O A_A N
فتحیاب 1.0	F A T_D H J A_A B
فجر 1.0	F A D_Z R
فجور 1.0	F U D_Z U_U R
فحش 1.0	F U H S_H
فخر 1.0	F A X A R
فدا 1.0	F U D_D A_A
فرائض 1.0	F A R A_A I Z
فراخدلی 1.0	F A R A_A X D_D I L I_I1
فرانسیسی 1.0	F A R A_A N S I_I1 S I_I1
فراواں 1.0	F A R A_A V A_A_N
فراہم 1.0	F A R A_A H A M
فرخندہ 1.0	F A R X A N D_D A_A
فرخی 1.0	F A R R U X I_I1
فردوس 1.0	F I R D_D O S
فرسودہ 1.0	F A R S U_U D_D A_A
فرض 1.0	F A R Z
فرعون 1.0	F I R O N
فرقان 1.0	F U R Q A_A N
فرقہ 1.0	F I R Q A_A
فرمائیں 1.0	F A R M A_A A_Y_N
فرماں 1.0	F A R M A_A_N
فرمایا 1.0	F A R M A_A J A_A
فروخت 1.0	F A R O_O X T_D
فروزاں 1.0	F A R O_O Z A_A_N
فروش 1.0	F A R O_O S_H
فروغ 1.0	F U R O_O G_G
فروگزاشت 1.0	F A R O_O G U Z A_A S_H T_D
فریب 1.0	F A R A_Y B
فریقین 1.0	F A R I_I1 Q A_E1 N
فرینڈ 1.0	F A R A_E1 N D
فرینڈلی 1.0	F A R A_E1 N D L I_I1
فزیوتھراپسٹ 1.0	F I Z J O_O T_D_H A R A_A P I S T
فشار 1.0	F U S_H A_A R
فشر 1.0	F I S_H A R
فشنگ 1.0	F I S_H S_H I N_G
فصل 1.0	F A S L
فصلیں 1.0	F A S L A_Y_N
فضل 1.0	F A Z L
فضول 1.0	F U Z U_U L
فضیلت 1.0	F A Z I_I1 L A T_D
فعال 1.0	F A A_A L
فعل 1.0	F A_Y L
فعلن 1.0	F A_Y L U N
فغاں 1.0	F U G_G A_A_N
ففٹی 1.0	F I F T I_I1
فقدان 1.0	F U Q D_D A_A N
فقر 1.0	F A Q R
فقروں 1.0	F I Q R O_O_N
فقرے 1.0	F I Q R A_Y
فقہی 1.0	F I Q H I_I1
فقیر 1.0	F A Q I_I1 R
فلالین 1.0	F A L A_A L A_E1 N
فلاں 1.0	F U L A_A_N
فلسطینی 1.0	F A L A S T_D I_I1 N I_I1
فلسفے 1.0	F A L S A F A_Y
فلم 1.0	F I L M
فلمساز 1.0	F I L M S A_A Z
فلموں 1.0	F I L M O_O_N
فلو 1.0	F A L U_U
فلور 1.0	F A L O_O R
فلڈ 1.0	F A L U D
فلک 1.0	F A L A K
فلیش 1.0	F A L A_E1 S_H
فلیچر 1.0	F I L A_Y T_S1 A R
فلیگ 1.0	F A L A_E1 G
فن 1.0	F A N
فنانس 1.0	F I N A_A N S
فنون 1.0	F U N U_U N
فنڈز 1.0	F A N D Z
فنگس 1.0	F A N_G G A S
فوائد 1.0	F A V A_A I D_D
فوبیا 1.0	F O_O B I J A_A
فوج 1.0	F O D_Z
فوجداری 1.0	F O_O D_Z D_D A_A R I_I1
فوجوں 1.0	F O_O D_Z O_O_N
فوجی 1.0	F O_O D_Z I_I1
فوجیوں 1.0	F O_O D_Z I_I1 O_O_N
فوجیں 1.0	F O D_Z A_Y_N
فوراً 1.0	F O R A N
فورس 1.0	F O_O R S
فورسڈ 1.0	F O_O R S D
فورم 1.0	F O_O R A M
فوری 1.0	F O R I_I1
فوریکس 1.0	F O_O R A_E1 K S
فوسٹر 1.0	F O_O S T A R
فوقیت 1.0	F O Q I J J A T_D
فول 1.0	F U_U L
فولاد 1.0	F O L A_A D_D
فولڈر 1.0	F O_O L D A R
فوم 1.0	F O_O M
فون 1.0	F O_O N
فوڈ 1.0	F U_U D
فٹ 1.0	F A T
فٹنیس 1.0	F I T N A_E1 S
فکر 1.0	F I K R
فکروعمل 1.0	F I K R O_O A M A L
فگار 1.0	F I G A_A R
فہرست 1.0	F A H R I S T_D
فہرستیں 1.0	F A_E_H H R I S T_D A_Y_N
فی 1.0	F I_I1
فیاض 1.0	F A J J A_A Z
فیاضی 1.0	F A_E1 J A_A Z I_I1
فیبرکس 1.0	F A_E1 B R I K S
فیتھ 1.0	F A_Y T_D_H
فیر 1.0	F A_E1 R
فیری 1.0	F A_Y R I_I1
فیز 1.0	F A_Y Z
فیس 1.0	F A_Y S
فیسوں 1.0	F I_I1 S O_O_N
فیسیں 1.0	F I_I1 S A_Y_N
فیشن 1.0	F A_E1 S_H A N
فیصد 1.0	F I_I1 S A D_D
فیصلوں 1.0	F A_E1 S L O_O_N
فیصلہ 1.0	F A_E1 S L A_A
فیصلے 1.0	F A_E1 S L A_Y
فیض 1.0	F A_E1 Z
فیضان 1.0	F A_E1 Z A_A N
فیلو 1.0	F A_E1 L O_O
فیلڈ 1.0	F I_I1 L D
فیم 1.0	F A_Y M
فیملی 1.0	F A_E1 M L I_I1
فین 1.0	F A_E1 N
فیورٹ 1.0	F A_Y V A R I T
فیوض 1.0	F U J U_U Z
فیوچر 1.0	F I J U_U T_S1 A R
فیچر 1.0	F I_I1 T_S1 A R
فیڈر 1.0	F I_I1 D A R
فیڈرل 1.0	F A_E1 D R A L
فیڈریشن 1.0	F A_E1 D R A_Y S_H A N
فیڈریشنز 1.0	F A_Y D R A_Y S_H A N Z
قائم 1.0	Q A_A I M
قابل 1.0	Q A_A B I L
قادری 1.0	Q A_A D_D I R I_I1
قادیانی 1.0	Q A_A D_D J A_A N I_I1
قارئین 1.0	Q A_A R A I_I1 N
قاری 1.0	Q A_A R I_I1
قاسم 1.0	Q A_A S I M
قاضی 1.0	Q A_A Z I_I1
قالین 1.0	Q A_A L I_I1 N
قانون 1.0	Q A_A N U_U N
قانونگو 1.0	Q A_A N U_U N_G G O_O
قبرستان 1.0	Q A B R I S T_D A_A N
قبضے 1.0	Q A B Z A_Y
قبل 1.0	Q A B L
قبول 1.0	Q U B U_U L
قبیح 1.0	Q A B I_I1 H
قبیلے 1.0	Q A B I_I1 L A_Y
قحط 1.0	Q A H T_D
قدآدم 1.0	Q A D_D A_Y A D_D A M
قدر 1.0	Q A D_D R
قدرتی 1.0	Q U D_D R A T_D I_I1
قدروقیمت 1.0	Q A D_D R O_O Q I_I1 M A T_D
قدروں 1.0	Q A D_D R O_O_N
قدریں 1.0	Q A D_D R A_Y_N
قدرے 1.0	Q A D_D R A_Y
قدسی 1.0	Q U D_D S I_I1
قدسیہ 1.0	Q U D_D S I J A_A
قدغن 1.0	Q A D_D G_G A N
قدم 1.0	Q A D_D A M
قدوقامت 1.0	Q A D_D O_O Q A_A M A T_D
قذف 1.0	Q A Z F
قرار 1.0	Q I R A_A R
قرارداد 1.0	Q A R A_A R D_D A_A D_D
قرضوں 1.0	Q A R Z O_O_N
قرضے 1.0	Q A R Z A_Y
